name,regisration_number,added_date,websites
BFS Markets Ltd,,7/25/2014,['www.bfsforex.com']
Binary Indulgence Sdn Bhd   (963258-W),,7/25/2014,[]
Bitclub Network,,8/28/2017,"['https://bitclubnetwork.com/opportunity.html', 'https://www.facebook.com/bitclubnetwork.BCN/']"
BitKingdom,,2/24/2017,['www.bitkingdom.org']
BSG- Buat.Simpan.Ganda,,12/6/2017,"['www.bsg.my', 'www.bsg.my/arib www.bsg.my/atsproject https://www.facebook.com/atsproject']"
Build Rich Mining Group Bhd (1006586-T),,3/28/2013,['www.buildrich.us']
Build Rich Investment Group Ltd,,2/19/2014,[]
Build Rich Group Holding,,2/19/2014,[]
Build Rich Agrotech Berhad,,2/19/2014,[]
Build Rich Enterprise,,2/19/2014,[]
Bumi Klasik Warisan Enterprise,,7/13/2012,[]
Capital Asia Group (M) Sdn Bhd,,5/14/2015,['www.capitalasiagroup.com']
Carbon Cash Bhd  (1218702-K),,7/31/2017,"['http://carbontoken.com/', 'http://goalgreen2u.com']"
Carousell Capital (0000140783T),,1/14/2019,[]
Cash Deal Sdn Bhd (Boss Venture),,2/19/2014,['www.bossventure.com']
Century Dynasty Asia Pacific Sdn Bhd,,8/28/2017,[]
Century Dynasty Group Berhad,,8/28/2017,[]
Century Dynasty Group LTD,,8/28/2017,[]
Century Dynasty Resources Sdn Bhd (980031-K),,8/28/2017,[]
Celik Emas Enterprise (0021517795-K),,5/14/2015,[]
CFAF Islamic,,1/14/2019,['www.cfaf-islamic.com']
CFWA Capital Business (002665083V),,1/14/2019,['www.cfaf-islamic.com']
Changkat  Agro Resources (IP 0353991V),,5/14/2015,[]
CG International,,7/31/2017,[]
CGC Aquaculture Sdn Bhd (1044976P),,12/6/2017,[]
CGF Fine Metal Sdn Bhd,,9/27/2012,[]
Classic Worldwide Corporation (M) Sdn Bhd (773082M),,5/27/2016,"['www.cwc.com.my', 'programarba.blogspot.my']"
Climate Protectors Sdn. Bhd,,6/23/2017,[]
Coin Enterprise Ltd,,6/23/2017,['Livecoin.net']
CryptoDaily Investment Packages,,9/19/2017,"['https://cryptodaily.io', 'https://www.facebook.com/pg/Cryptodailyio-323902771374164/reviews/']"
CTK Network,,10/16/2012,['http://CTK2U.com']
Classic FX Venture,,7/31/2017,['https://www.facebook.com/Classic-FX-Venture-92977800446648/']
CybertrustFX,,7/22/2013,[]
CYL Asia Enterprise,,6/29/2017,[]
CYL4U Resources,,6/29/2017,['www.cyl4u.com']
CYL Peoria Enterprise,,6/29/2017,[]
CYL Prospect Trading,,6/29/2017,[]
Danatama Millennium Sdn Bhd (819082-U),,5/2/2013,[]
Dana Haji Jasman,,7/13/2012,[]
Darul Emas Perak Bhd,,2/19/2014,[]
DBB Star Sdn Bhd (1110055-M),,2/25/2016,[]
Degold Empire Sdn Bhd (882335-M),,7/13/2012,[]
Delta Wealth Services  (002194713-K),,7/25/2014,[]
Destiny Resources Services,,7/25/2014,[]
Dgreat Network,,5/2/2013,['http://info.simplebisnes.com']
Dinar Dirham Global,,1/9/2017,['www.dinardirham.com']
DM Rise Enterprise (PG 0262929-H),,10/20/2014,[]
DNA Profile Sdn Bhd (245435-W),,7/13/2012,[]
Dream Success International Sdn Bhd (1002002-P),,9/25/2013,['www.Surewin4u.com']
Dynamic Wira Marketing Sdn Bhd - Skim Beras 1 Malaysia,,1/23/2013,[]
Dynasty Worldwide Sdn Bhd (800311-D),,9/25/2013,"['www.dynasty-worldwide-net', 'www.dynastymf.com']"
Eagle Aeronautics (M) Sdn Bhd (796603-A),,9/27/2012,[]
East Cape Mining Corp,,7/13/2012,[]
Ecobit,,6/23/2017,[]
Ecofuturefund,,9/25/2013,['www.ecofuturefund.biz']
Efzinitus Capital Pte Ltd,,5/9/2017,['www.efzinitus.com']
Emgoldex (Emirates Gold Exchange),,4/10/2015,[]
Empire Five Trading,,4/4/2014,['www.mikadofx.com']
Empires Making Money For You (EMM4U),,2/28/2018,"['https://www.empiresmm4u.com', 'https://makemoremoney3m.wixsite.com/mm4u']"
Energetic Gateway Sdn Bhd (511826-X),,1/23/2013,[]
Epic Palms Bhd,,3/28/2013,['http://epicpalmsberhad.com/']
Ethtrade Limited,,6/22/2017,['https://ethtrade.org\xa0']
Ethtrade Malaysia,,6/22/2017,[]
Everise Fumigation Sdn Bhd  (861654-K),,7/25/2014,[]
Exorbitance Influence Sdn Bhd (1191499-U),,1/9/2017,['www.krubal.com']
Exquisite Bottle Index Sdn Bhd (1060843T),,12/23/2015,['www.xbi.com.my']
Exness Executive Management,,8/28/2017,['https://exnesmalaya.com']
Exness Malaysia,,8/28/2017,[]
Extra Capital Programme,,7/13/2012,['http://extracapitalprogram.com']
Ezey Marketing,,7/13/2012,[]
Ezy Save Trading (PG0216560 - V),,9/19/2017,[]
EZYFX Berhad (1213734P),,1/14/2019,"['www.ezyfx4u.com', 'https://ezfx4u.wordpress.com']"
E-Qirad Sdn Bhd (595699-D),,3/28/2013,[]
FA Markets,,5/2/2013,[]
Family Wealth Resources (SA0310508-M),,10/13/2015,[]
Fari Group Global Resources (SA0319984-M),,12/23/2015,[]
FBS Malaysia,,7/31/2017,['http://fbsmy.com']
FE Brands (M) Sdn Bhd (1000656-H),,7/13/2012,[]
Financial.org Malaysia,,4/9/2018,['https://www.facebook.com/financial.org.malaysia/\xa0']
Flexsy Enterprise & Barrilorne Corp,,7/13/2012,[]
FNZ Capital Limited,,7/13/2012,['www.intelfx.com']
Fruits LT Ventures,,8/28/2017,['https://www.facebook.com/Fruits-LT-Ventures-161191244419863\xa0']
Fruits LT Ventures Investment Scheme,,8/28/2017,[]
Fortrend International Sdn Bhd (876619-X),,9/1/2015,[]
Forex4you,,8/28/2017,"['http://www.forex4you.com/en/about', 'https://www.facebook.com/forex4you.malaysia/\xa0']"
Forexnova,,7/31/2017,"['http://www.facebook.com/forexnovamalaysia/', 'https://www.forexbrokerz.com/brokers/ForexNova-review']"
Futurebarrel.com,,11/12/2013,['http://futurebarrel.com']
Future Trade Indojaya Sdn Bhd (1003327-P),,9/27/2012,"['http://ftindojaya.blogspot.com', 'www.ft-indojaya.com']"
FXBITLab Holdings Sdn Bhd (1212832-T),,7/31/2017,['https://www.fxbitlab.com\xa0']
FxUnited Malaysia (myfxunited),,4/10/2015,[]
FXUnited Power Sdn Bhd (1146795-M),,5/27/2016,['http://www.fxunitedpowerinternational.com/']
FXZN Zenith Limited,,12/30/2014,['http://www.fxzn.com']
FXZN Investment Limited,,12/30/2014,[]
FXZN Zenith Management Limited,,12/30/2014,[]
FX Primus Ltd,,12/23/2015,['https://trivfx.com']
Gain FX Capital Sdn Bhd,,7/13/2012,['www.gainfxcapital.org']
Gan Patt Services,,7/13/2012,[]
Ganding Wawasan Trading  (TR0133766-A),,7/25/2014,[]
GCMAsia,,1/17/2018,"['https://www.gcmasia.com/my/ https://www.facebook.com/GCMAsia-902721186484854/', 'https://www.instagram.com/gcmasia/                         https://twitter.com/GcmAsia']"
Gemilang Jalur Pintar Enterprise,,9/19/2017,"['http://www.jutawanapp.com/', 'https://www.facebook.com/JutawanApp/']"
GGC Aquaculture Sdn Bhd (1044976P),,12/23/2015,[]
GGF Golden House Sdn Bhd (803753-W),,7/13/2012,[]
GGT Golds Sdn Bhd (547290-D),,2/25/2016,[]
Global Creation Trading,,7/13/2012,[]
Global Golds Trading (JM0518201-W),,2/25/2016,[]
Global Peace Loving Family,,9/27/2012,['www.globalpeacelf.com']
Global Tijari Holdings Berhad,,7/31/2017,[]
Global Tijari Industries Sdn Bhd,,7/31/2017,[]
Global Venture Financing,,7/13/2012,['http://globalventurefinancing.com']
Global Wave Gold Corporation,,11/12/2013,"['https://globalwavegold.com', 'http://gwgfx.com']"
Globamas Trading,,2/28/2018,"['https://www.empiresmm4u.com', 'https://makemoremoney3m.wixsite.com/mm4u']"
GM Trader,,8/28/2017,"['http://www.gmtraderteam.com', 'https://www.facebook.com/GmTrader-859208567506294/']"
Gold Bullion World Sdn Bhd (1018604-A),,7/22/2013,['http://goldenworld.com.my']
Gorgeous Chain Sdn Bhd (841928-P),,7/13/2012,[]
Grand View Golden Success Sdn Bhd (638186-X) - Golden;Maximum,,7/22/2013,[]
Golden Speed Trading (002252254-K),,8/28/2017,[]
Great Access Sdn Bhd (517965-X),,7/13/2012,[]
Green Buck Resources Sdn Bhd (851115-A),,5/2/2013,[]
Greenmillion Agrosolution Enterprise,,9/27/2012,['http://greenmillionagrisolution.blogspot.com']
Green Forest Global Sdn Bhd (987049-P),,7/22/2013,[]
Grow Asia Capital Holdings (0000151641T),,1/14/2019,[]
Grow Asia Capital Ventures (0000151635T),,1/14/2019,[]
GTGVIP,,7/31/2017,"['www.gtgvip.biz', 'www.gtgvip.net']"
HAFX Global Venture Sdn Bhd,,10/13/2015,[]
Harvest Reliance Consultancy Sdn Bhd (965589-W),,5/2/2013,[]
HEA Teguh,,9/25/2013,[]
Hexa Commerce Sdn Bhd (645798-X),,7/13/2012,[]
HG Resources Sdn Bhd,,2/25/2016,"['http://www.highwayrich.com http://www.highwayrichclub.com', 'http://www.highwaygroup2u.com']"
HiFX Asia (HiFX),,2/25/2016,['www.hifx2rich.com']
Highway Group Resources,,2/25/2016,"['http://www.highwayrich.com', 'http://www.highwayrichclub.com http://www.highwaygroup2u.com']"
Hin Huat Auto Sparts (TR0005484-X),,7/25/2014,[]
HotForex Malaysia,,8/28/2017,"['https://www.hotforex.com/sv/en/about-us/about-hotforex.html', 'https://www.facebook.com/hfmarketsmalaysia http://hotforexpro.blogspot.my/']"
Holiday Express Asia,,9/25/2013,[]
Honest Group Ltd,,7/13/2012,[]
Hupro International Inc,,10/13/2015,[]
I & A Global Community Network,,9/15/2016,[]
Iconhill Holding Sdn Bhd (810775-P),,7/13/2012,[]
IGC Diamond,,7/13/2012,[]
IGOFX,,7/31/2017,['https://www.facebook.com/IGOFXinvestment/?hc_ref=PAGES_TIMELINE&fref=nf\xa0']
Infinity Star International Sdn Bhd (851864-T),,9/25/2013,[]
Instaforex,,7/13/2012,[]
Instagroup Resources (JM0531870-X),,5/27/2016,[]
INint Global Solution - (IGS),,8/28/2017,"['http://www.igsvc.biz/igs1\xa0', 'https://www.facebook.com/igs.biz/?hc_ref=SEARCH&fref=nf\xa0']"
Inter Pasicfic Soyy Enterprise,,4/10/2015,[]
IPG Capital,,4/24/2018,[]
Iridian Ventures PLT (LLP0002569-LGN):,,10/13/2015,[]
IronFX Solid Trading,,10/13/2015,[]
Isothree Gold Sdn Bhd (906561-K),,7/13/2012,[]
Itradex,,5/17/2017,['www.itradexsystem.com']
Jalatama Management Sdn Bhd (929594-W),,7/13/2012,['www.jalatama.com']
Jalur Gemilang Maju Enterprise (SA 0412058 - U),,9/19/2017,"['http://www.jutawanapp.com/', 'https://www.facebook.com/JutawanApp/']"
Jazlaan Enterprise,,7/13/2012,[]
Jihadfarisha Ventures,,5/17/2017,['www.dpkingfx.weebly.com']
JJ Commerce Trading (SA0399365P),,6/29/2017,[]
JJ Global Network,,2/24/2017,['www.jjptr.com']
JJ Online Enterprise (SA0399360K),,6/29/2017,[]
JJ Poor To Rich,,2/24/2017,['www.jjptr.com']
JJPTR,,2/24/2017,['www.jjptr.com']
JM Communications & Technology Sdn Bhd (702054-V),,7/13/2012,[]
JMI Global,,7/13/2012,[]
JTGold,,7/13/2012,[]
Jutawan Apps,,9/19/2017,"['http://www.jutawanapp.com/', 'https://www.facebook.com/JutawanApp/']"
Kazuki Coin,,5/30/2018,"['www.kazukicoin.net', 'https://www.facebook.com/kzkcSamuraiNetwork/ https://www.facebook.com/kazukicoinHQ/ https://www.facebook.com/billionaireislandclub/ https://www.facebook.com/kazukimalaysia/ http://kongsikazukicoin.blogspot.my/2017/09/kongsikazukicoin.html']"
Kelab Kebajikan dan Sosial Tun Teja Malaysia,,5/2/2013,['http://yds2u.com']
Kelab Kebajikan Sosial Malaysia (VVIP88),,4/4/2014,[]
Keenan Capital Group,,7/25/2014,"['www.kcgtraders.com', 'www.keenonlinefx.com']"
Keenan Prestige Services  (002095851-P),,7/25/2014,[]
Keenan Brilliant Services  (002021597-V),,7/25/2014,[]
Kembara Jutawan Crypto,,7/31/2017,"['https://www.facebook.com/svdmalaysia\xa0', 'https://www.cryptobeggar.net']"
Khaira Sakinah Resources (CT0018249-R),,10/20/2014,[]
Kilauan Padu Services Sdn Bhd (KPSSB) (657711-X),,6/22/2017,[]
KL FxUnited Club,,4/10/2015,[]
Kris Plus Enterprise (IP0238424-A),,7/13/2012,[]
Kudaemas,,10/20/2014,['www.kudaemas.com']
L & L Property Ventures SB (1186992T),,6/29/2017,[]
Lestari2U,,7/13/2012,['www.lestari2u.com']
LetDuit Scheme,,8/28/2017,"['www.letduit.com', 'Let Duit Boss (Facebook page) LetDuit Plan 30 Hari (Facebook page)']"
Liberty Reserve,,7/13/2012,['www.libertyreserve.com']
Life Time Holidays Sdn Bhd (727129-U),,7/13/2012,[]
Live Coin Express,,6/23/2017,[]
LocalAdClick,,7/13/2012,['http://localadclick.net']
LocusNetwork4u.com,,5/14/2015,"['http://locusnetwork4u.com', 'http://carigold.com/portal/forums/showthread.php?t=548206']"
LS Gold Bullion Sdn Bhd (235435-H),,3/28/2013,[]
Making Money For You (MM4U),,2/28/2018,"['https://www.empiresmm4u.com', 'https://makemoremoney3m.wixsite.com/mm4u']"
Mama Captain International,,6/29/2017,"['http://www.mamacaptain.com', 'http://www.barrel2u.com https://www.mamaharbour.com']"
Marco Robinson Sdn Bhd,,5/17/2017,['www.marcorobinson.com']
Mari Wholesale (M) Sdn Bhd (556117-T),,7/13/2012,[]
Mateen Acquisition Global (002693981K),,10/10/2018,['www.asia-equity.com']
Maxim Capital Ltd,,9/25/2013,['www.maximtrader.com']
Mayuni Enterprise,,2/28/2018,"['https://www.empiresmm4u.com', 'https://makemoremoney3m.wixsite.com/mm4u']"
Maza Network Sdn Bhd (1006389-H),,11/12/2013,[]
MBI International Sdn Bhd (873323-V),,5/22/2017,['http://www.mbiv2u.com/']
McRen Oceanus Sdn Bhd (908484-X),,7/22/2013,[]
MD Venture Group Sdn Bhd (1058936U),,12/23/2015,[]
Meccafund Family Malaysia,,4/4/2014,['www.meccafundfamilymalaysia.blogspot.com']
Mecca Fund Global (MFG),,2/25/2016,"['http://meccafundglobal.com https://makkahislamichotel.com', 'mekahalsafwah.blogspot.my']"
Mega Dynasty Sdn Bhd (931589-V),,7/13/2012,[]
Megaherbs Bioextreme (001946380-K),,7/13/2012,[]
Megah Mewah Trading (SA0295909-A),,10/20/2014,[]
Mface International Sdn Bhd (978203-V),,5/22/2017,['http://www.mbiv2u.com/']
MGCfx,,6/6/2016,['www.mgcforex.com']
MGC Capital Sdn Bhd,,6/6/2016,['www.morgagecapitals.com']
MGSB Holding Sdn Bhd,,11/16/2015,['www.mgsb.org.my']
MH Secret Wealth Enterprise (NS0122059A),,5/14/2015,[]
Mi1 Global Sdn Bhd (1145697-X),,1/9/2017,['http://mymi1millionaire.org']
Million Jade Sdn Bhd,,5/14/2015,['http://www.millionjade.com']
Miracle Day Trading (JR0047390-V),,9/1/2015,[]
Mohamad World Enterprise,,4/10/2015,[]
MonSpace (M) Sdn Bhd,,5/9/2017,['http://www.monspacea.com']
MMM Malaysia,,8/28/2017,"['https://malaysia-mmm.net', 'https://www.facebook.com/MMM.Malaysia.Official']"
MOP Consultant Sdn. Bhd (101867-W),,10/13/2015,[]
Mughniwave International Sdn. Bhd. (1163697-W),,9/15/2016,['http://mughniglobal.com']
MX3 World Wide,,5/27/2016,['http://mx3worldwide.com']
My Cameron Hills Sdn Bhd,,5/21/2015,[]
Myrezki,,8/28/2017,"['http://myrezki.com', 'https://www.facebook.com/bizmeletop2017']"
MyHowk Ling,,7/31/2017,['https://www.facebook.com/profile.php?id=100013203109581\xa0']
Nahana Golbal Resources (00211411-M),,6/29/2017,[]
New Gen Food Sdn Bhd (1186962X),,6/29/2017,[]
Nexgain Malaysia Sdn Bhd (773854-D),,3/28/2013,[]
Next Generation mall,,9/15/2016,[]
NGR Asia Group Sdn Bhd (1138129-M),,6/29/2017,['http://www.ngrasia.com']
NGR Global Sdn Bhd (UT0004411-H),,6/29/2017,[]
NIKPROFIT TRADING,,8/28/2017,['http://www.premierfxmarket.com']
Nory Motor  (TR0023237-H),,7/25/2014,[]
Norry Setia Ent  (TR0103958-M),,7/25/2014,[]
NTB Agencies Sdn Bhd (1039052-M),,7/25/2014,[]
O2 Only One,,6/22/2017,[]
Ocean Century International Limited,,12/23/2015,[]
OCI Management Sdn Bhd (1042036X),,12/23/2015,[]
OCI Venture Sdn Bhd (1039926H),,12/23/2015,[]
ODFX,,5/14/2015,['http://www.ODFX.com']
OG1 Asean,,6/22/2017,[]
Overseas Commercial Futures (OCFX),,8/28/2017,[]
OLTA Capital Management Inc.,,7/13/2012,[]
Omega Pinnacle Ltd (Labuan),,8/28/2017,[]
One AutoCash,,7/13/2012,"['www.clubautocash.com', 'www.1autocash.com']"
Only One International Sdn Bhd (1195288W),,6/22/2017,[]
Orion Healthcare Management Services Sdn Bhd,,4/10/2015,[]
Orion Prokasih (M) Sdn Bhd,,4/10/2015,[]
Ostim Academy (002443002-A),,2/25/2016,['www.ostimint.com']
Overseas Delight Sdn Bhd  (614245-W),,7/25/2014,['www.arawana2u.com']
Pancar Mayang Sdn Bhd (527196-H),,7/13/2012,[]
Pars Pay Sdn Bhd (813378-V),,7/13/2012,[]
Pegasus Bullion,,4/4/2014,['www.pegasusbullion.com']
Perfway Traders Sdn Bhd (918583-V),,12/30/2014,['http://www.perfway.com']
Perniagaan Jatidana Wawasan (M) Sdn Bhd,,12/30/2014,[]
Perubatan Islam Seiring Syariat Al-Ikhlas,,7/22/2013,[]
Pioneer Forest Sdn Bhd (1069104M),,5/27/2016,"['www.abunur.com', 'rezekipasif.blogspot.my']"
Pertubuhan Kebajikan Komuniti Malaysia (PKKM),,2/24/2017,['https://www.pkkm.my']
Pok Din Consultant & Services,,5/27/2016,['www.pokdinempire.com']
Pok Din Empire Sdn Bhd (1130978-D),,5/27/2016,['www.pokdinempire.com']
Pollywood Scheme,,8/28/2017,"['http://www.pollywood.asia/index.html', 'http://www.polly.academy/ http://www.facebook.com/pollywoodhq/\xa0', 'https://www.facebook.com/Pollywood-Pte-Ltd-2747462042880450/\xa0']"
Power Trade Asia Sdn Bhd (933528-T),,11/12/2013,['www.kuasaforex.com.my']
PPC Storm,,4/4/2014,['http://ppcstorm.com']
Preferred Credentials Sdn Bhd,,1/23/2013,[]
Premier FX Malaysia,,8/28/2017,['http://www.premierfxmarket.com']
Premier Point Market Sdn Bhd (1166245-K),,8/28/2017,[]
Premier Point Market LLC,,8/28/2017,[]
Premier Ventures Gold,,3/28/2013,[]
Prestige Dairy Farm (M) Berhad (832757-A),,7/13/2012,[]
Proficiency Management and Services (002532706X),,6/22/2017,[]
Profit Web Sdn Bhd,,2/19/2014,[]
Program 10 Bulan Forex Trading,,7/13/2012,[]
Program I-Rich,,7/13/2012,[]
Pro Infinity Ltd,,7/25/2014,['http://proinfinity.com']
Projek Duit 2012,,7/13/2012,[]
Project Tebus Nilai IQD Investment Scheme,,8/6/2018,[]
Provisio Multimedia,,7/13/2012,[]
Pruton Mega Holding Limited,,2/24/2017,[]
PTFX,,8/28/2017,['https://www.facebook.com/ooi.ptfx?hc_ref=SEARCH\xa0 https://www.facebook.com/PTFX-Malaysia765053533643113/?hc_ref=SEARCH\xa0 https://www.facebook.com/PTFX-Malaysia-765053533643113/ https://www.facebook.com/PTFXCopyTrade/\xa0']
PTM4U,,7/31/2017,['http://passport2u.com']
Public Golden House Sdn Bhd (806825-M),,2/19/2014,[]
Puncak Hartawan Resources  (0000097980-T),,7/25/2014,[]
Quantum Capital Program,,12/30/2014,['www.quantumcapitalprogram.com www.berjayaforex.com']
Questra World (QW),,8/28/2017,"['https://questraworld.es', 'https://www.facebook.com/QuestraWorld.Malaysia.1/']"
Qinur Enterprise,,8/28/2017,['http://www.premierfxmarket.com\xa0']
Ram Kris Venture (0024165647-K),,12/23/2015,[]
RCFX,,3/7/2016,[]
RC Group,,3/7/2016,[]
RC Group Sdn Bhd,,3/7/2016,[]
Real Biz Pasif,,11/12/2013,[]
Real Ingenious Sdn Bhd (926598-U),,7/13/2012,['www.worldfocus.co']
Relax Green Enterprise (PG0415537X),,6/29/2017,[]
Rejab Trading  (TR0115248-A),,7/25/2014,[]
Rejabwealth Sdn Bhd (1005424-X),,7/25/2014,[]
Reza Anuar Seven,,10/20/2014,[]
Retro Titan Sdn Bhd,,2/19/2014,[]
Rex Russel Capital Investment Group,,8/28/2017,[]
RGCX Trading Corp,,7/13/2012,['http://www.goldrgcx.com/richman8 www.rapidgcx.com']
Richway Global Venture,,5/17/2017,"['www.richwayventure.com', 'www.richwayventure.info']"
Richway Green Venture (PG0406414M),,6/29/2017,[]
Rich World Revolution (RWR),,8/28/2017,"['http://richworldrevolution.com/rwr/\xa0', 'https://www.facebook.com/richworldrevolution/']"
Rimbun Tekad Realty Sdn Bhd  (966604-D),,7/25/2014,[]
Rimbun Tekad Consultancy Sdn Bhd  (966620-V),,7/25/2014,[]
Rising Premium Sdn Bhd (285572-P),,5/14/2015,[]
RMMUDAH.COM,,7/13/2012,[]
RM20segera.com,,7/25/2014,['www.rm20segera.com']
RN Corporate Services Sdn Bhd,,2/19/2014,[]
Rowther Technologies MSC Sdn Bhd (727979-T),,7/13/2012,[]
Royal Gold Sdn Bhd (1005830-X),,9/27/2012,['http://royalgolds.com']
Royale Team Groups,,5/2/2013,['www.royaleteaminfo.blogspot.com']
RS Capital Holdings Bhd (819833-P),,7/13/2012,[]
Safeena Gold Gallery (IP0386035-U),,2/25/2016,[]
Sanabil Investment,,7/31/2017,['www.sanabil.com\xa0']
Sejati Agarwood Enterprise,,5/21/2014,[]
Sera Land Mangement & Enterprise (JM0503206-P),,1/23/2013,[]
SFX Management (KT0339697-V),,8/28/2017,"['http://www.topprofx.com/about.php\xa0', 'https://www.facebook.com/tpfxmalaysia/?hc_ref=SEARCH&fref=nf\xa0']"
SGFM Trading Sdn Bhd (936419-V),,9/27/2012,[]
SGV Premier Plan Scheme,,8/28/2017,[]
SimplyFX Malaysia,,8/28/2017,['https://www.facebook.com/simplyfxmalaysia/']
Slimberry Extreme Team,,7/13/2012,"['http://zatslimberry.blogspot.com', 'slimberryxtreme.com']"
Smarthink Trading (001973331 - M),,9/19/2017,[]
Smart Trade Entrepreneur (002459702D ),,6/22/2017,[]
Smart Trade Resources Sdn Bhd (1180992A),,6/22/2017,[]
SMCI Corporation,,7/31/2017,['www.smci.co']
Solor Bond Capital Sdn Bhd (1163697-W),,9/15/2016,"['www.mysolarbond.com', 'http://solarbond-malaysia.blogspot.my']"
Speedline,,7/13/2012,['www.speedline-inc.com']
Spot Gold Scheme,,4/24/2018,[]
Srgold Exchange Bhd (1033164-V),,11/12/2013,['www.srgold.com.my']
Sri Perkasa Emas Trading,,7/13/2012,[]
Sri Chempaka Emas Enterprise;(SA0293336-P),,7/25/2014,[]
Steady Dynasty Sdn Bhd (782270-H),,7/22/2013,[]
Steady Global Network Sdn Bhd,,7/22/2013,[]
Strategic Solution (Goldex Group International Limited),,9/19/2017,[]
Superbinvest Group,,8/28/2017,"['https://www.facebook.com/pu3superbinvest/?hc_ref=SEARCH', 'https://www.facebook.com/pu3superbinvest/\xa0\xa0']"
Suliz Pearl Mines,,7/13/2012,[]
Suisse Coins Sdn Bhd,,4/10/2015,['www.suissecoins.com']
Sweblink Global Network Sdn Bhd (209952-H),,7/22/2013,[]
Swiss Capital Venture,,7/13/2012,[]
SVD Malaysia,,7/31/2017,"['https://www.facebook.com/svdmalaysia\xa0', 'https://www.cryptobeggar.net']"
SV International Scheme,,8/28/2017,"['SV International Investment Malaysia (Facebook page)', 'SV International (Facebook page)']"
SV International Sdn Bhd (1169355-K),,8/28/2017,[]
Syarikat Azza Motor Network Sdn Bhd (104795-P),,12/30/2014,"['www.rajakeretaweebly.com', 'www.rajakereta.com']"
Syarikat GECS Ltd,,7/13/2012,[]
Syarikat Sri Alam,,7/13/2012,[]
Tabung Dana Ehsan,,7/13/2012,[]
Tanjung Trading   ((TR0123942-W),,7/25/2014,[]
Tenaga Setia Services (107239-P),,7/25/2014,[]
TF International Group,,6/22/2017,[]
TF International Group (MY),,6/22/2017,[]
TF International W1212 KL Team,,6/22/2017,[]
